----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
A FUNCTIONAL GENOMICS APPROACH TO DETERMINE THE MECHANISM OF CELLULAR RESPONSE TO NEW ANTI-CANCER DRUGS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,138672,
BRAIN TUMOR CLINICAL AND CLINICAL RESEARCH PROGRAM (CLINICAL SUPPORT SERVICES),DIVISION OF BASIC SCIENCES - NCI,2015,1948127,
CHARACTERIZING FUNCTIONAL TARGETS OF A NON-CODING RNA ONCOGENE; SNORA42,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016,169650,
REGULATION AND FUNCTION OF SNORNA GENES,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016,276125,
SERUM ANTIBODY PROFILING WITH A CARBOHYDRATE MICROARRAY,DIVISION OF BASIC SCIENCES - NCI,2015,411634,
THE ROLE OF THE HYPOXIC ECM ON INTEGRIN-INDUCED BREAST CANCER METASTASIS,JOHNS HOPKINS UNIVERSITY,2016,249000,
DNA LESIONS AND GENE EXPRESSION IN HYPOXIC LUNG DISEASE,UNIVERSITY OF SOUTH ALABAMA,2016,378750,
RADIOMICS OF NSCLC,H. LEE MOFFITT CANCER CTR & RES INST,2016,562652,
IMAGING HABITATS IN SARCOMA,H. LEE MOFFITT CANCER CTR & RES INST,2016,438929,
POLYAMINE-STIMULATED STEM CELL RECRUITMENT IN ARSENIC-INDUCED SKIN CANCER,LANKENAU INSTITUTE FOR MEDICAL RESEARCH,2016,377438,
ADIPOSE-DERIVED STROMAL/STEM CELL THERAPY FOR PRESSURE ULCERS,"LACELL, LLC",2016,617594,
DEVELOPMENTAL/PILOT PROJECTS P451-488,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,,408923
IGF::OT::IGF CORE INFRASTRUCTURE  SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY AND END RESULTS (SEER) 5/01/2015 - 4/30/2016.,CANCER PREVENTION INSTIT OF CALIFORNIA,2015,4143000,
USING INTEGRATIVE NETWORKS TO EXPLORE HETEROGENEOUS PHENOTYPES IN COPD,BRIGHAM AND WOMEN'S HOSPITAL,2016,188995,
BIOLOGICAL MECHANISMS INVOLVED WITH PDT IN THE TREATMENT OF MPM,UNIVERSITY OF PENNSYLVANIA,2016,673905,
LIGHT-RESPONSIVE RUTHENIUM COMPOUNDS FOR APPLICATIONS IN DISEASE,UNIVERSITY OF KENTUCKY,2016,285004,
HYPOXIA; DNA REPAIR; AND GENE SILENCING,YALE UNIVERSITY,2017,374625,
TARGETING SEMA3C IN CASTRATION RESISTANT PROSTATE CANCER,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,,449099
IRE1A: A CONDITIONAL TUMOR SUPPRESSOR,PENNSYLVANIA STATE UNIVERSITY-UNIV PARK,2016,359595,
LENTIVIRAL VECTOR FOR THE TREATMENT OF FANCONI ANEMIA,"RIMEDION, INC.",2016,293257,
IN VIVO METABOLIC CATASTROPHE IS INDUCED BY ACUTE ONCOGENE INHIBITION (PQ #22),"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2015,605208,
OPTOGENETIC PROFILING OF FUNCTIONAL SIGNALING ABNORMALITIES IN TRIPLE NEGATIVE BREAST CANCER,PRINCETON UNIVERSITY,2016,48576,
EDUCATION CORE,HARVARD MEDICAL SCHOOL,2016,,97294
PATTERN RECOGNITION IN MEDICAL IMAGING,NATIONAL INSTITUTE ON AGING,2015,334462,
PATH TO IMPROVED RISK STRATIFICATION,PATH TO IMPROVED RISK STRATIFICATION,2016,12000,
KIDSDOTT-CCC,JOHNS HOPKINS UNIVERSITY,2016,497372,
TUMOR MICROENVIRONMENT AND METASTASIS,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,,277362
EXPERIMENTAL THERAPEUTICS,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,,321634
CANCER BIOSPECIMEN ACQUISITION AND BIOREPOSITORY,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,,79320
SULF2 IN HNSCC,GEORGETOWN UNIVERSITY,2016,233250,
UNDERSTANDING AND PREDICTING CARDIAC EVENTS IN HD USING REAL-TIME EHRS,DUKE UNIVERSITY,2016,157765,
CCR COLLABORATIVE BIOINFORMATICS RESOURCE,DIVISION OF BASIC SCIENCES - NCI,2015,2436364,
MSI2 REGULATES THE AGGRESSIVENESS OF NON-SMALL CELL LUNG CANCER (NSCLC),RESEARCH INST OF FOX CHASE CAN CTR,2016,194119,
LUNG CANCER IN NEVER SMOKERS: INCIDENCE; RISK FACTORS; AND MOLECULAR CHARACTERISTICS IN ASIAN AMERICAN; NATIVE HAWAIIAN AND PACIFIC ISLANDER FEMALES,CANCER PREVENTION INSTIT OF CALIFORNIA,2016,649018,
DEVELOPING A TARGETED CHEMOPREVENTION STRATEGY FOR NON-SMALL CELL LUNG CANCER,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,352275,
HIPPO SIGNALING IN PULMONARY ARTERIAL HYPERTENSION,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,399877,
IGF::OT::IGF IMPROVE COMPLETENESS OF TREATMENT AND OTHER KEY DATA ELEMENTS BY LINKAGES WITH 15-MONTH RESUBMITTED DATA FROM COMMISSION ON CANCER HOSPITALS,CONNECTICUT STATE DEPT OF PUBLIC HEALTH,2015,42052,
NON-SJOGREN'S SYNDROME-AND SJOGREN'S SYNDROME-RELATED KERATOCONJUNCTIVITIS SICCA: A SPECTRUM OF INFLAMMATORY DRY EYE,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,251905,
XENOBIOTIC METABOLISM; CANCER CHEMOPREVENTION AND CANCER BIOMARKERS,DIVISION OF BASIC SCIENCES - NCI,2015,1083650,
AEROSOL SPECTINAMIDE-1599 THERAPY AGAINST TUBERCULOSIS,COLORADO STATE UNIVERSITY,2016,629894,
LOW-DOSE ARSENIC IMPACTS INNATE IMMUNE RESPONSE IN BRONCHIAL EPITHELIAL CELLS,DARTMOUTH COLLEGE,2016,56118,
MECHANISMS OF ACTIN FILAMENT REMODELING AND DISASSEMBLY,BRANDEIS UNIVERSITY,2016,617276,
INFRASRUCTURE SUPPORT AND DATA ENHANCEMENTS FOR THE CARET BIOREPOSITORY,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,517965,
PLANNING A REGIONAL CENTER OF RESEARCH EXCELLENCE IN NON-COMMUNICABLE DISEASES IN INDIA,EMORY UNIVERSITY,2016,289628,
BIOCHEMICAL BASIS OF SOMATIC HYPERMUTATION,UNIVERSITY OF SOUTHERN CALIFORNIA,2015,150000,
MACROPHAGE-SPECIFIC NANOPARTICLES TO UNDERSTAND ATHEROSCLEROSIS,UNIVERSITY OF MICHIGAN,2016,163460,
TRANSFER RULE LEARNING WITH FUNCTIONAL MAPPING FOR INTEGRATIVE MODELING OF PANOMICS DATA,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,296041,
MOBILE APPLICATION FOR GUIDED IMAGERY TO ADDRESS SMOKING; DIET AND PHYSICAL ACTIV,UNIVERSITY OF ARIZONA,2015,166226,
A GENOMEWIDE STUDY OF LUNG CANCER IN NEVER SMOKERS,DARTMOUTH COLLEGE,2014,435109,
DEVELOPMENT OF IMMUNO-PET AGENTS FOR THE SELECTIVE IMAGING OF CD8 T CELLS,"AGENUS, INC.",2016,300000,
NO-MODIFIED BIOMOLECULES AND PULMONARY SIGNALING,"RUTGERS, THE STATE UNIV OF N.J.",2016,343360,
CELL SORTER GRANT FOR ECU FLOW CYTOMETRY CORE FACILITY,EAST CAROLINA UNIVERSITY,2016,509108,
MECHANISMS OF ACTION OF THE SMYD3 METHYLTRANSFERASE IN CANCER CELLS,STANFORD UNIVERSITY,2016,457506,
ROLE OF TH2 CD4 T CELLS IN SCHISTOSOMA PULMONARY HYPERTENSION,UNIVERSITY OF COLORADO DENVER,2016,77750,
HEAD AND NECK CANCER PROGRAM (PROJECT-010),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,34671
HYPERPOLARIZED NMR FOR STUDIES OF CANCER THERAPIES TARGETING THE WARBURG EFFECT,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,361050,
CONSULTATION AND COLLABORATION,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,1736219,
TREATING PANCREATIC CANCER WITH LISTERIA-32P,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,181613,
RADIATION-INDUCED TUMOR CELL MIGRATION,STANFORD UNIVERSITY,2016,362455,
CHEMISTRY,DANA-FARBER CANCER INST,2016,,39714
DEVELOPMENT OF COVALENT PIP4K2 INHIBITORS FOR THE TREATMENT OF P53 DEFICIENT LUNG TUMORS,DANA-FARBER CANCER INST,2016,540936,
MIRNA REGULATION OF VASCULAR PERMEABILITY AND INFLAMMATION IN THE LUNG INJURY,UNIVERSITY OF COLORADO DENVER,2016,614883,
PROJECT 1: HEALTH EFFECTS OF ARSENIC LONGITUDINAL STUDY,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,,28404
PROJECT 1: HEALTH EFFECTS OF ARSENIC LONGITUDINAL STUDY,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,,528958
COMMUNITY ENGAGEMENT CORE: PROMOTING ARSENIC TESTING AND TREATMENT,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,,88800
SOUTHEAST ASIA REGIONAL CONFERENCE ON GROUNDWATER ARSENIC: MULTI-DISCIPLINARY APPROACHES TO PROTECTING THE HEALTH OF THE PUBLIC,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,25284,
TARGETED RADIOTHERAPY WITH 90Y-BC8 MONCLONAL ANTIBODY; FLUDARABINE AND TBI FOLLOW,FRED HUTCHINSON CANCER RESEARCH CENTER,2012,340471,
RIPK-DEPENDENT NECROSIS IN DEVELOPMENT AND CANCER,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,2016,363125,
TRANSGENIC MODELS FOR BREAST CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,716309,
NANOPARTICLE MODIFIED HUMAN FAT DERIVED MESENCHYMAL STEM CELLS FOR BRAIN CANCER,JOHNS HOPKINS UNIVERSITY,2016,370575,
CENTER FOR MOLECULAR; CELLULAR; AND TRANSLATIONAL IMMUNOLOGY,DARTMOUTH COLLEGE,2015,1174198,
CATHEPSIN L INHIBITORS AS PAN-CORONAVIRUS THERAPEUTICS,"PHELIX THERAPEUTICS, LLC",2016,1465763,
DNA DOUBLE STRAND BREAK CHROMATIN ALTERATIONS AND GENOME INTEGRITY,UNIVERSITY OF PENNSYLVANIA,2016,304000,
REPURPOSING ANTI-CANCER DRUGS TO PREVENT GROWTH OF OSTEOSARCOMA METASTASES,CASE WESTERN RESERVE UNIVERSITY,2016,172369,
SCREENING FOR DRUGS THAT RESTORE LET-7 MICRORNA EXPRESSION IN CANCER,CHILDREN'S HOSPITAL CORPORATION,2016,361000,
THE CONNECTION OF INNATE AND ADAPTIVE ANTI-CANCER IMMUNITY,DIVISION OF BASIC SCIENCES - NCI,2015,1510560,
ETIB CLINICAL TRIALS,DIVISION OF BASIC SCIENCES - NCI,2015,1492154,
ETIB CLINICAL RESEARCH CORE,DIVISION OF BASIC SCIENCES - NCI,2015,1492154,
MOLECULAR ANALYSIS OF HUMAN HEREDITARY DEAFNESS,NATIONAL INSTITUTE ON DEAFNESS AND OTHER COMMUNICATION DISORDERS,2015,1276299,
ALL-HUMAN MICROPHYSICAL MODEL OF METASTASIS THERAPY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016,77260,
ALL-HUMAN MICROPHYSICAL MODEL OF METASTASIS THERAPY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016,996993,
DEVELOPMENT OF AN IMMUNOSTIMULATORY SMALL MOLECULE LIBRARY,UNIVERSITY OF DELAWARE,2016,,235161
REPRIEVE - CCC - LEAD APPLICATION,MASSACHUSETTS GENERAL HOSPITAL,2016,4994783,
DETOXICATION OF AIR POLLUTANTS IN HUMANS WITH A BROCCOLI SUPPLEMENT,JOHNS HOPKINS UNIVERSITY,2016,421934,
MECHANISMS OF NEUROTRANSMITTER-GATED ION CHANNELS,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2016,352736,
DAYTON CLINICAL ONCOLOGY PROGRAM,DAYTON CLINICAL ONCOLOGY PROGRAM,2016,855000,
MAPPING PROTON RBE VARIABILITY USING AUTOMATED BIOLOGY AND MONTE CARLO TECHNIQUES,UNIVERSITY OF TX MD ANDERSON CAN CTR,2015,174000,
CELL RESPONSE AND REGULATION PROGRAM (PROJECT-002),UNIVERSITY OF UTAH,2016,,69276
THE ROLE OF P53-INDUCIBLE SESN1 AND SESN2 GENES IN LUNG CARCINOGENESIS,VIRGINIA COMMONWEALTH UNIVERSITY,2016,316438,
MECHANISMS OF ACTION FOR KCN1 IN THE CONTROL OF UVEAL MELANOMA METASTASIS,EMORY UNIVERSITY,2016,48411,
MECHANISMS OF ACTION FOR KCN1 IN THE CONTROL OF UVEAL MELANOMA METASTASIS,EMORY UNIVERSITY,2016,323700,
ECM GEOMETRICAL AND MECHANICAL PROPERTIES MODULATE RTK SIGNALING,UNIVERSITY OF CALIFORNIA BERKELEY,2016,639231,
CORE-009,UNIVERSITY OF SOUTHERN CALIFORNIA,2016,,335322
NOVEL APPROACHES TO UNDERSTANDING THE NUTRIENT REGULATION OF FETAL SOMATIC GROWTH,RHODE ISLAND HOSPITAL,2016,399201,
NANOPORE SINGLE-MOLECULE DIELECTROPHORESIS AND BIOMEDICAL DETECTION,UNIVERSITY OF MISSOURI-COLUMBIA,2016,291344,
BENZOFURAZAN SULFIDE FLUOROGENIC AGENTS FOR LIVE CELL SUBCELLULAR THIOL IMAGING,SOUTH DAKOTA STATE UNIVERSITY,2014,327503,
THE ROLE OF MECHANOTRANSDUCTION IN PROGRESSION OF TUMOR-INDUCED BONE DISEASE,VANDERBILT UNIVERSITY,2016,315650,
COMPARE SUBSTRATE SPECIFICITIES OF WILD TYPE AND MUTANT EGFR KINASES.,DIVISION OF BASIC SCIENCES - NCI,2015,32435,
PROTEIN PHOSPHORYLATION DOWNSTREAM OF MUTANT EGFR KINASES,DIVISION OF BASIC SCIENCES - NCI,2015,810863,
ROLE OF MIG6 IN MUTANT EGFR-DRIVEN LUNG TUMORIGENESIS,DIVISION OF BASIC SCIENCES - NCI,2015,210825,
IDENTIFICATION OF POTENTIALLY ACTIVE TYROSINE KINASES IN LUNG CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,405432,
IN-PATIENT HOSPICE AND RAPID AUTOPSY TO INTERROGATE TUMOR HETEROGENEITY,DIVISION OF BASIC SCIENCES - NCI,2015,162173,
BIOINFORMATICS STRATEGIES TO RELATE AGE OF ONSET WITH GENE-GENE INTERACTION,DARTMOUTH COLLEGE,2016,352350,
CANCER THERAPY CLINICAL TRIALS USING NOVEL RECOMBINANT VACCINES,DIVISION OF BASIC SCIENCES - NCI,2015,324191,
MEDICAL ONCOLOGY FELLOWSHIP PROGRAM,DIVISION OF BASIC SCIENCES - NCI,2015,6114523,
CLINICAL TRIALS EMPLOYING CANCER VACCINE COMBINATION THERAPIES,DIVISION OF BASIC SCIENCES - NCI,2015,324191,
REGULATION OF TUMOR METASTASIS BY E-CADHERIN ACTIVATION AND HIPPO SIGNALING,SEATTLE CHILDREN'S HOSPITAL,2016,467754,
PRECLINICAL VALIDATION OF U1 ADAPTORS FOR SUPPRESSION OF KRAS IN PANCREATIC CANCER,"RUTGERS, THE STATE UNIV OF N.J.",2016,155875,
TARGETING ACTIN DYNAMICS TO INHIBIT AIRWAY HYPPERRESPONSIVENESS AND INFLAMMATION,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,550822,
RNA THERAPEUTICS FOR TARGETED TREATMENT OF COLON CANCER,NORTH DAKOTA STATE UNIVERSITY,2016,335075,
SYSTEMATIC ASSESSMENT OF MULTI-WALLED CARBON NANOTUBES IN PULMONARY DISEASE,WEST VIRGINIA UNIVERSITY,2016,333000,
CANCER SPECIFIC AND ORGAN-AVOIDING RNA ARCHITECTURES FOR QUANTITATIVE IMAGING,OHIO STATE UNIVERSITY,2016,320423,
THE ROLE OF AUTOPHAGY IN KRAS-DRIVEN LUNG CANCER,RBHS -CANCER INSTITUTE OF NEW JERSEY,2016,209628,
PREVENTION OF METASTASIS BY GREEN TEA POLYPHENOLS,CASE WESTERN RESERVE UNIVERSITY,2015,79250,
TIMP3: A MOLECULAR TARGET OF GREEN TEA POLYPHENOLS,CASE WESTERN RESERVE UNIVERSITY,2016,206843,
ADVANCING GERIATRICS INFRASTRUCTURE & NETWORK GROWTH (ADMIN SUPPLEMENT):  DEPRESCRIBING POTENTIAL FOR OLDER ADULTS WITH ALZHEIMER'S DISEASE AND COGNITIVE IMPAIRMENT,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2016,150000,
ADVANCING GERIATRICS INFRASTRUCTURE & NETWORK GROWTH - ADMIN SUPPLEMENT:  DESIGNING AND TESTING AN INFORMATICS TOOL TO AID PRESCRIBERS IN REDUCING ANTICHOLINERGIC BURDEN IN OLDER ADULTS,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2016,177841,
ADVANCING GERIATRICS INFRASTRUCTURE & NETWORK GROWTH,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2016,873570,
PHARMACOLOGY CORE,UNIVERSITY OF COLORADO DENVER,2016,,137157
MOLECULAR & STRUCTURAL BIOLOGY,UNIVERSITY OF COLORADO DENVER,2016,,75246
MODELING MUSCLE WASTING IN CANCER CACHEXIA,OHIO STATE UNIVERSITY,2016,203280,
(PQD6) MUSCLE STEM CELLS AND CANCER CACHEXIA,OHIO STATE UNIVERSITY,2016,394097,
3RD CANCER CACHEXIA CONFERENCE: TRANSLATING BASIC MECHANISMS TO THERAPY,OHIO STATE UNIVERSITY,2016,10000,
MODELING AND CIRCUMVENTING EMT TO SUPPRESS METASTASIS,MASSACHUSETTS GENERAL HOSPITAL,2016,357979,
MOLECULAR PET IMAGING OF MET WITH SMALL PROTEIN LIGANDS,UNIVERSITY OF MINNESOTA,2016,223405,
(PQ3) THE ROLE OF DAMAGED DNA IN INTER-INDIVIDUAL VARIATION OF TUMOR IMMUNITY,"BROAD INSTITUTE, INC.",2016,518165,
BARRIERS TO EFFECTIVE TOBACCO CONTROL POLICY IMPLEMENTATION IN THE US MILITARY,NATIONAL DEVELOPMENT & RES INSTITUTES,2015,558279,
NON-INVASIVE MOLECULAR IMAGING IN EARLY DIAGNOSIS OF DIABETIC COMPLICATIONS,BRIGHAM AND WOMEN'S HOSPITAL,2015,1689878,
REGULATION OF FIBROBLAST PHENOTYPE IN LUNG FIBROSIS,UNIVERSITY OF CALIFORNIA SAN DIEGO,2016,493995,
FRESH: DUAL HOME SCREENING FOR LUNG CANCER PREVENTION,UNIVERSITY OF KENTUCKY,2016,405766,
IMPACT OF IMMUNE RECONSTITUTION ON OUTCOMES TO CHEMORADIATION IN CERVICAL CANCER,UNIVERSITY OF PENNSYLVANIA,2016,,10484
THE DANA-FARBER CANCER INSTITUTE CANCER TARGET DISCOVERY AND DEVELOPMENT CENTER,DANA-FARBER CANCER INST,2016,698459,
SYSTEMATIC IDENTIFICATION OF ONCOGENIC KRAS SYNTHETIC LETHAL INTERACTIONS,"BROAD INSTITUTE, INC.",2016,807776,
A MULTI-FACETED APPROACH TO IDENTIFYING K-RAS SYNTHETIC LETHAL RELATIONSHIPS,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,1025393,
DEVELOPMENT OF CO-TRANSLATIONAL PHOSPHOTYROSINE INCORPORATION TO ELUCIDATE MECHANISMS OF SRC ACTIVATION,YALE UNIVERSITY,2016,28176,
IMMUNE RECONSTITUTION FOLLOWING AUTOLOGOUS AND ALLOGENEIC STEM CELL TRANSPLANT,DIVISION OF BASIC SCIENCES - NCI,2015,705120,
CONFERENCE GRANT APPLICATION TO SUPPORT THE AMERICAN PSYCHOSOMATIC SOCIETY'S 74TH ANNUAL SCIENTIFIC MEETING,AMERICAN PSYCHOSOMATIC SOCIETY (APS),2016,20000,
PEGYLATED PEPTIDES LIGANDS TARGETING RADIATION-INDUCIBLE RECEPTORS ON CANCER,"MEDICAL GUIDANCE SYSTEMS, LLC",2016,225000,
DETECTION OF HIGH GRADE PROSTATE CANCER WITH SUBHARMONIC ULTRASOUND IMAGING,THOMAS JEFFERSON UNIVERSITY,2016,209434,
A RANDOMIZED TRIAL OF INCENTIVES FOR RESEARCH PARTICIPATION,UNIVERSITY OF PENNSYLVANIA,2016,617159,
O-GLYCOSYLATION OF EPIDERMAL GROWTH FACTOR-LIKE MOTIFS,STATE UNIVERSITY NEW YORK STONY BROOK,2016,622378,
SYNTHESIS AND BIOLOGICAL EVALUATION OF NATURAL PRODUCT ANALOGUES,JACKSON STATE UNIVERSITY,2016,113250,
STATISITICAL DESIGN; MONITORING & COORD. OF VISION CLINICAL TRIALS & EPIDEMIOLOGY,EMMES CORPORATION,2015,5892755,
THERAPEUTIC TARGETING OF FIBROBLAST GROWTH FACTOR RECEPTORS IN SQUAMOUS CANCERS,DANA-FARBER CANCER INST,2016,387027,
ESTROGEN SIGNALING IN A MOUSE MODEL FOR LYMPHANGIOLEIOMYOMATOSIS,UNIVERSITY OF ROCHESTER,2016,351131,
DISCOVERY OF SMALL MOLECULE INHIBITORS OF THE DCN1-UBC12 INTERACTION,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,2016,58002,
HYDROLYTIC ENZYMES IN THE METABOLISM OF TOXINS,UNIVERSITY OF CALIFORNIA AT DAVIS,2017,383279,
ROLE OF DEAD-BOX HELICASE IN MICRORNA BIOGENESIS AND CANCER,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,101631,
UTILIZING INTERACTION TO IDENTIFY NOVEL GENETIC FACTORS FOR NICOTINE DEPENDENCE,RESEARCH TRIANGLE INSTITUTE,2015,100000,
UTILIZING INTERACTION TO IDENTIFY NOVEL GENETIC FACTORS FOR NICOTINE DEPENDENCE,RESEARCH TRIANGLE INSTITUTE,2015,470202,
INTEGRATING EPIGENOMICS IN HUMAN BRAIN AND GENOMICS OF NICOTINE DEPENDENCE,RESEARCH TRIANGLE INSTITUTE,2016,796837,
NOVEL ADJUNCTIVE THERAPY FOR DRUG RESISTANT GRAM-NEGATIVE PATHOGENS,UNIVERSITY OF BRITISH COLUMBIA,2016,265485,
INHIBITION OF A TREG DEUBIQUITINASE; USP7; PROMOTES ANTI-TUMOR IMMUNITY,CHILDREN'S HOSP OF PHILADELPHIA,2016,380640,
DEFINING THE TN-GLYCOPROTEOME OF IN SITU COLORECTAL TUMORS AND MECHANISMS OF TN E,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,64146,
CLUSTERED SEMI-COMPETING RISKS ANALYSIS IN QUALITY OF END-OF-LIFE CARE STUDIES,HARVARD SCHOOL OF PUBLIC HEALTH,2016,446179,
DERIVING BONE DENSITY FROM THORACIC CT SCANS,"BDI, INC.",2016,149165,
TCDD INDUCTIONS OF OMEGA-6 AND OMEGA-3 PUFA METABOLISM ACT INVERSELY ON TUMOR PROGRESSION,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,324526,
CANCER EPIDEMIOLOGY,DANA-FARBER CANCER INST,2016,,82450
THE ROLE OF THE TUMOR SUPPRESSOR RHOB IN PULMONARY AGING AND LUNG TUMORIGENESIS,JOHNS HOPKINS UNIVERSITY,2016,176175,
DEFINING ONCOGENIC CAPACITIES OF PAK7 MUTATIONS IN HUMAN CANCER,CHILDREN'S HOSPITAL CORPORATION,2016,192488,
METHODS FOR BIOACTIVE COMPOUND SYNTHESIS,UNIVERSITY OF KANSAS LAWRENCE,2016,367871,
RADIOTHERAPEUTIC NANOSEEDS FOR INTERNAL RADIATION THERAPY OF UNRESECTABLE SOLID TUMORS,UNIVERSITY OF TEXAS ARLINGTON,2016,477039,
GENESIS OF EPITHELIAL CELL LUMENS,UNIVERSITY OF MICHIGAN,2016,155304,
INTRA-TUMOR HETEROGENEITY IN COLORECTAL CANCER PROGRESSION AND TREATMENT RESPONSE,UNIVERSITY OF MICHIGAN,2016,174960,
LOW RISK IN VIVO DIAGNOSIS OF IPF WITH OPTICAL IMAGING,MASSACHUSETTS GENERAL HOSPITAL,2016,179120,
BIOMARKERS IN CANCER DIAGNOSIS;PROGNOSIS; AND THERAPEUTIC OUTCOME,DIVISION OF BASIC SCIENCES - NCI,2015,1585226,
INTEGRATIVE MOLECULAR EPIDEMIOLOGY OF HUMAN CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,1585226,
P53; AGING; AND CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,792614,
(PQ2) HIV INFECTION; APOBEC UPREGULATION; AND CANCER MUTAGENESIS,UNIVERSITY OF MINNESOTA,2016,219289,
USE OF ADVANCED IMAGING TECHNIQUES TO IMPROVE DIAGNOSTIC METHODS FOR ARDS,MASSACHUSETTS GENERAL HOSPITAL,2016,677379,
HEALTH; AGING AND BODY COMPOSITION STUDY,NATIONAL INSTITUTE ON AGING,2015,194945,
HYPERTHERMIA-AUGMENTED EPITHELIAL APOPTOSIS AND ACUTE LUNG INJURY,BALTIMORE VA MEDICAL CENTER,2016,,
P38MAP KINASE-DEPENDENT MECHANISMS OF FEVER-ENHANCED ACUTE LUNG INJURY,UNIVERSITY OF MARYLAND BALTIMORE,2016,383750,
IMMUNOTHERAPY FOR  MALIGNANT MESOTHELIOMA; LUNG CANCER AND THYMIC MALIGNANCIES,DIVISION OF BASIC SCIENCES - NCI,2015,1075984,
THORACIC AND GASTROINTESTINAL ONCOLOGY BRANCH MEDICAL CLINICAL CORE,DIVISION OF BASIC SCIENCES - NCI,2015,1755551,
CANCER RECURRENCE:  DETECTION IN ADMINISTRATIVE DATA; INCIDENCE; AND COSTS,DANA-FARBER CANCER INST,2016,476825,
EVOLUTION OF RESISTANCE OF EGFR MUTANT NON-SMALL CELL LUNG CANCER,MASSACHUSETTS GENERAL HOSPITAL,2016,179280,
SELENIUM IN HEALTH AND ITS INCORPORATION INTO PROTEIN AS SELENOCYSTEINE,DIVISION OF BASIC SCIENCES - NCI,2015,304490,
CORE B - THE CLINICAL AND BIOMARKERS CORE,UNIVERSITY OF MINNESOTA,2016,,481241
TXNIP AS A KEY REGULATOR OF THYROID CANCER METABOLISM AND AGGRESSIVENESS,UNIVERSITY OF COLORADO DENVER,2016,322663,
AN ACTIVE ROLE OF ADAPTOR PROTEINS IN TYROSINE KINASE INHIBITOR RESISTANCE,H. LEE MOFFITT CANCER CTR & RES INST,2015,183244,
VALIDATION OF EGFR PROTEIN COMPLEXES AS MOLECULAR DIAGNOSTICS,H. LEE MOFFITT CANCER CTR & RES INST,2016,390763,
MECHANISM-BASED WOUND HEALING BY ACTIVATION OF GAMMA DELTA T CELLS,SCRIPPS RESEARCH INSTITUTE,2016,256528,
THE ROLE OF AKT IN CELL SURVIVAL AND CELL GROWTH,UNIVERSITY OF ILLINOIS AT CHICAGO,2016,451912,
HEXOKINASE 2 AND CANCER THERAPY,JESSE BROWN VA MEDICAL CENTER,2016,,
PI3K/PTEN/AKT SIGNALING AND THE GENESIS OF CANCER,UNIVERSITY OF ILLINOIS AT CHICAGO,2015,395208,
NETWORK GROUP INTEGRATED TRANSLATIONAL SCIENCE CENTERS APPLICATION,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,700000,
